trial,learning_rate,n_steps,ent_coef,net_arch,activation_fn,n_epochs,clip_range,batch_size,survival_rate,mean_return
129,0.0001,1024,0.005,"[128, 128]",ReLU,10,0.1,128,0.745,0.6915625
27,0.0001,512,0.005,"[128, 128]",Tanh,5,0.1,128,0.745,0.71455
480,0.0003,1024,0.005,"[256, 128]",Tanh,10,0.1,128,0.745,0.6871624999999999
331,0.0003,512,0.005,"[64, 64]",ReLU,20,0.2,128,0.745,0.6831875
186,0.0001,1024,0.01,"[128, 128]",ReLU,20,0.1,128,0.74,0.6884874999999999
368,0.0003,512,0.005,"[256, 128]",ReLU,20,0.3,128,0.74,0.671475
511,0.0003,1024,0.01,"[128, 128]",ReLU,20,0.2,128,0.74,0.67535
111,0.0001,1024,0.005,"[64, 64]",ReLU,10,0.1,128,0.74,0.7046250000000001
509,0.0003,1024,0.01,"[128, 128]",ReLU,10,0.3,128,0.74,0.6838875000000002
350,0.0003,512,0.005,"[128, 128]",ReLU,20,0.3,128,0.74,0.686925
495,0.0003,1024,0.01,"[64, 64]",Tanh,5,0.1,128,0.74,0.69345
635,0.0003,2048,0.01,"[256, 128]",ReLU,10,0.3,128,0.74,0.6640999999999999
43,0.0001,512,0.005,"[256, 128]",ReLU,20,0.2,128,0.74,0.694225
634,0.0003,2048,0.01,"[256, 128]",ReLU,10,0.2,128,0.74,0.6897625000000001
146,0.0001,1024,0.005,"[256, 128]",ReLU,5,0.3,128,0.74,0.6985125
359,0.0003,512,0.005,"[128, 128]",Tanh,20,0.3,128,0.74,0.6755
299,0.0001,2048,0.01,"[128, 128]",Tanh,5,0.3,128,0.74,0.670975
423,0.0003,512,0.01,"[256, 128]",Tanh,5,0.1,128,0.74,0.6933125000000001
367,0.0003,512,0.005,"[256, 128]",ReLU,20,0.2,128,0.74,0.6658750000000001
372,0.0003,512,0.005,"[256, 128]",Tanh,10,0.1,128,0.74,0.681
580,0.0003,2048,0.005,"[256, 128]",ReLU,10,0.2,128,0.74,0.6876249999999999
468,0.0003,1024,0.005,"[256, 128]",ReLU,5,0.1,128,0.74,0.6819874999999999
540,0.0003,2048,0.005,"[64, 64]",ReLU,5,0.1,128,0.74,0.7024625
261,0.0001,2048,0.005,"[256, 128]",Tanh,5,0.1,128,0.74,0.6727500000000001
205,0.0001,1024,0.01,"[256, 128]",ReLU,20,0.2,128,0.74,0.6713875
485,0.0003,1024,0.005,"[256, 128]",Tanh,20,0.3,128,0.74,0.6654875000000001
476,0.0003,1024,0.005,"[256, 128]",ReLU,20,0.3,128,0.74,0.6663125
144,0.0001,1024,0.005,"[256, 128]",ReLU,5,0.1,128,0.735,0.7304
150,0.0001,1024,0.005,"[256, 128]",ReLU,20,0.1,128,0.735,0.6882
326,0.0003,512,0.005,"[64, 64]",ReLU,5,0.3,128,0.735,0.735
219,0.0001,2048,0.005,"[64, 64]",ReLU,10,0.1,128,0.735,0.7052375000000001
309,0.0001,2048,0.01,"[256, 128]",ReLU,10,0.1,128,0.735,0.7114
197,0.0001,1024,0.01,"[128, 128]",Tanh,20,0.3,128,0.735,0.678775
248,0.0001,2048,0.005,"[128, 128]",Tanh,10,0.3,128,0.735,0.690475
273,0.0001,2048,0.01,"[64, 64]",ReLU,10,0.1,128,0.735,0.712825
268,0.0001,2048,0.005,"[256, 128]",Tanh,20,0.2,128,0.735,0.6714875
243,0.0001,2048,0.005,"[128, 128]",Tanh,5,0.1,128,0.735,0.6944125
269,0.0001,2048,0.005,"[256, 128]",Tanh,20,0.3,128,0.735,0.6773250000000001
136,0.0001,1024,0.005,"[128, 128]",Tanh,5,0.2,128,0.735,0.6910625000000001
324,0.0003,512,0.005,"[64, 64]",ReLU,5,0.1,128,0.735,0.7111750000000001
162,0.0001,1024,0.01,"[64, 64]",ReLU,5,0.1,128,0.735,0.6920000000000001
457,0.0003,1024,0.005,"[128, 128]",ReLU,20,0.2,128,0.735,0.6683250000000001
609,0.0003,2048,0.01,"[64, 64]",Tanh,20,0.1,128,0.735,0.6720875000000001
62,0.0001,512,0.01,"[64, 64]",ReLU,20,0.3,128,0.735,0.69245
63,0.0001,512,0.01,"[64, 64]",Tanh,5,0.1,128,0.735,0.7043375000000001
64,0.0001,512,0.01,"[64, 64]",Tanh,5,0.2,128,0.735,0.7043375000000001
65,0.0001,512,0.01,"[64, 64]",Tanh,5,0.3,128,0.735,0.7043375000000001
460,0.0003,1024,0.005,"[128, 128]",Tanh,5,0.2,128,0.735,0.6814
441,0.0003,1024,0.005,"[64, 64]",Tanh,5,0.1,128,0.735,0.68465
431,0.0003,512,0.01,"[256, 128]",Tanh,20,0.3,128,0.735,0.6749124999999999
428,0.0003,512,0.01,"[256, 128]",Tanh,10,0.3,128,0.735,0.6747875000000001
482,0.0003,1024,0.005,"[256, 128]",Tanh,10,0.3,128,0.735,0.6675249999999999
80,0.0001,512,0.01,"[128, 128]",ReLU,20,0.3,128,0.735,0.6881375
636,0.0003,2048,0.01,"[256, 128]",ReLU,20,0.1,128,0.735,0.6666249999999999
90,0.0001,512,0.01,"[256, 128]",ReLU,5,0.1,128,0.735,0.7001000000000001
358,0.0003,512,0.005,"[128, 128]",Tanh,20,0.2,128,0.735,0.6705375000000001
513,0.0003,1024,0.01,"[128, 128]",Tanh,5,0.1,128,0.735,0.6805875
100,0.0001,512,0.01,"[256, 128]",Tanh,5,0.2,128,0.735,0.6535375000000001
346,0.0003,512,0.005,"[128, 128]",ReLU,10,0.2,128,0.735,0.6698375
103,0.0001,512,0.01,"[256, 128]",Tanh,10,0.2,128,0.735,0.7025625
589,0.0003,2048,0.005,"[256, 128]",Tanh,10,0.2,128,0.735,0.6712250000000001
204,0.0001,1024,0.01,"[256, 128]",ReLU,20,0.1,128,0.73,0.6727125
548,0.0003,2048,0.005,"[64, 64]",ReLU,20,0.3,128,0.73,0.6684125000000001
541,0.0003,2048,0.005,"[64, 64]",ReLU,5,0.2,128,0.73,0.7074875
554,0.0003,2048,0.005,"[64, 64]",Tanh,10,0.3,128,0.73,0.67935
537,0.0003,1024,0.01,"[256, 128]",Tanh,20,0.1,128,0.73,0.6632375
612,0.0003,2048,0.01,"[128, 128]",ReLU,5,0.1,128,0.73,0.6905125000000001
196,0.0001,1024,0.01,"[128, 128]",Tanh,20,0.2,128,0.73,0.6664375
536,0.0003,1024,0.01,"[256, 128]",Tanh,10,0.3,128,0.73,0.6721625
613,0.0003,2048,0.01,"[128, 128]",ReLU,5,0.2,128,0.73,0.6981875
