trial,learning_rate,exploration_fraction,net_arch,activation_fn,buffer_size,exploration_final_eps,batch_size,target_update_interval,survival_rate,mean_return
268,0.0001,0.35,"[256, 128]",Tanh,100000,0.05,64,500,0.68,0.6217374999999999
420,0.0003,0.35,"[256, 128]",ReLU,100000,0.01,64,500,0.68,0.5738125
237,0.0001,0.35,"[128, 128]",ReLU,50000,0.01,64,500,0.68,0.6060125
418,0.0003,0.35,"[256, 128]",ReLU,50000,0.05,64,500,0.68,0.574075
396,0.0003,0.35,"[128, 128]",ReLU,25000,0.01,64,500,0.68,0.6037375
431,0.0003,0.35,"[256, 128]",Tanh,100000,0.1,64,500,0.675,0.575975
467,0.0003,0.45,"[128, 128]",Tanh,100000,0.1,64,500,0.675,0.573225
189,0.0001,0.25,"[128, 128]",Tanh,25000,0.01,64,500,0.675,0.606025
221,0.0001,0.35,"[64, 64]",ReLU,50000,0.1,64,500,0.675,0.6065125
317,0.0001,0.45,"[256, 128]",Tanh,25000,0.1,64,500,0.675,0.6021625
202,0.0001,0.25,"[256, 128]",ReLU,50000,0.05,64,500,0.675,0.598825
109,5e-05,0.45,"[64, 64]",ReLU,25000,0.05,64,500,0.675,0.6114625000000001
262,0.0001,0.35,"[256, 128]",Tanh,25000,0.05,64,500,0.675,0.5957625
480,0.0003,0.45,"[256, 128]",Tanh,50000,0.01,64,500,0.675,0.5798375
287,0.0001,0.45,"[64, 64]",Tanh,100000,0.1,64,500,0.675,0.597925
160,5e-05,0.45,"[256, 128]",Tanh,100000,0.05,64,500,0.675,0.6175875
32,5e-05,0.25,"[128, 128]",Tanh,50000,0.1,64,500,0.67,0.6166000000000001
474,0.0003,0.45,"[256, 128]",ReLU,100000,0.01,64,500,0.67,0.593
473,0.0003,0.45,"[256, 128]",ReLU,50000,0.1,64,500,0.67,0.5714374999999999
231,0.0001,0.35,"[64, 64]",Tanh,100000,0.01,64,500,0.67,0.584825
203,0.0001,0.25,"[256, 128]",ReLU,50000,0.1,64,500,0.67,0.5783750000000001
143,5e-05,0.45,"[128, 128]",Tanh,100000,0.1,64,500,0.67,0.589375
325,0.0003,0.25,"[64, 64]",ReLU,25000,0.05,64,500,0.67,0.5971
296,0.0001,0.45,"[128, 128]",ReLU,100000,0.1,64,500,0.67,0.5821124999999999
401,0.0003,0.35,"[128, 128]",ReLU,50000,0.1,64,500,0.67,0.5879375
405,0.0003,0.35,"[128, 128]",Tanh,25000,0.01,64,500,0.67,0.5977125
363,0.0003,0.25,"[256, 128]",ReLU,50000,0.01,64,500,0.665,0.5797374999999999
348,0.0003,0.25,"[128, 128]",ReLU,100000,0.01,64,500,0.665,0.5817625
319,0.0001,0.45,"[256, 128]",Tanh,50000,0.05,64,500,0.665,0.5926125
61,5e-05,0.35,"[64, 64]",ReLU,100000,0.05,64,500,0.665,0.5985875
374,0.0003,0.25,"[256, 128]",Tanh,50000,0.1,64,500,0.665,0.555525
197,0.0001,0.25,"[128, 128]",Tanh,100000,0.1,64,500,0.665,0.6157625
415,0.0003,0.35,"[256, 128]",ReLU,25000,0.05,64,500,0.665,0.572525
60,5e-05,0.35,"[64, 64]",ReLU,100000,0.01,64,500,0.665,0.610625
442,0.0003,0.45,"[64, 64]",Tanh,25000,0.05,64,500,0.665,0.59185
54,5e-05,0.35,"[64, 64]",ReLU,25000,0.01,64,500,0.66,0.6097
482,0.0003,0.45,"[256, 128]",Tanh,50000,0.1,64,500,0.66,0.5709125
65,5e-05,0.35,"[64, 64]",Tanh,25000,0.1,64,500,0.66,0.6000125
135,5e-05,0.45,"[128, 128]",Tanh,25000,0.01,64,500,0.66,0.6064499999999999
414,0.0003,0.35,"[256, 128]",ReLU,25000,0.01,64,500,0.66,0.5579875
356,0.0003,0.25,"[128, 128]",Tanh,50000,0.1,64,500,0.66,0.5751000000000001
56,5e-05,0.35,"[64, 64]",ReLU,25000,0.1,64,500,0.655,0.5898375
107,5e-05,0.35,"[256, 128]",Tanh,100000,0.1,64,500,0.655,0.5882875
416,0.0003,0.35,"[256, 128]",ReLU,25000,0.1,64,500,0.655,0.568525
302,0.0001,0.45,"[128, 128]",Tanh,50000,0.1,64,500,0.64,0.5599875
455,0.0003,0.45,"[128, 128]",ReLU,50000,0.1,64,500,0.635,0.541675
353,0.0003,0.25,"[128, 128]",Tanh,25000,0.1,64,500,0.635,0.557775
469,0.0003,0.45,"[256, 128]",ReLU,25000,0.05,64,500,0.625,0.531775
233,0.0001,0.35,"[64, 64]",Tanh,100000,0.1,64,500,0.625,0.5622375000000001
373,0.0003,0.25,"[256, 128]",Tanh,50000,0.05,64,500,0.595,0.4993
